kommune,befolkning,kommunenr
Oslo,717710,0301
Eigersund,15221,1101
Stavanger,149048,1103
Haugesund,38292,1106
Sandnes,83702,1108
Sokndal,3347,1111
Lund,3226,1112
Bjerkreim,2892,1114
Hå,19827,1119
Klepp,20900,1120
Time,19910,1121
Gjesdal,12362,1122
Sola,28685,1124
Randaberg,11742,1127
Strand,13703,1130
Hjelmeland,2643,1133
Suldal,3889,1134
Sauda,4572,1135
Kvitsøy,544,1144
Bokn,883,1145
Tysvær,11570,1146
Karmøy,43306,1149
Utsira,215,1151
Vindafjord,8938,1160
Kristiansund,24404,1505
Molde,32816,1506
Ålesund,58509,1508
Vanylven,3026,1511
Sande (Møre og Romsdal),2438,1514
Herøy (Møre og Romsdal),8968,1515
Ulstein,8861,1516
Hareid,5322,1517
Ørsta,10958,1520
Stranda,4348,1525
Sykkylven,7617,1528
Sula,9720,1531
Giske,8691,1532
Vestnes,7147,1535
Rauma,7299,1539
Aukra,3678,1547
Averøy,5955,1554
Gjemnes,2700,1557
Tingvoll,3041,1560
Sunndal,7227,1563
Surnadal,5953,1566
Smøla,2159,1573
Aure,3408,1576
Volda,11093,1577
Fjord,2492,1578
Hustadvika,13437,1579
Haram,9357,1580
Bodø,53712,1804
Narvik,21580,1806
Bindal,1399,1811
Sømna,1976,1812
Brønnøy,7826,1813
Vega,1208,1815
Vevelstad,480,1816
Herøy (Nordland),1842,1818
Alstahaug,7421,1820
Leirfjord,2352,1822
Vefsn,13469,1824
Grane,1447,1825
Aarborte ,1284,1826
Dønna,1427,1827
Nesna,1808,1828
Hemnes,4485,1832
Rana ,25994,1833
Lurøy,1886,1834
Træna,442,1835
Rødøy,1139,1836
Meløy,6180,1837
Gildeskål,1958,1838
Beiarn,1062,1839
Saltdal,4880,1840
Fauske ,9827,1841
Sørfold ,1858,1845
Steigen,2672,1848
Lødingen,2060,1851
Evenes ,1330,1853
Røst,460,1856
Værøy,683,1857
Flakstad,1229,1859
Vestvågøy,11619,1860
Vågan,9793,1865
Hadsel,8236,1866
Bø,2634,1867
Øksnes,4569,1868
Sortland ,10618,1870
Andøy,4553,1871
Moskenes,954,1874
Hábmer ,2729,1875
,0,21
Kontinentalsokkelen,0,23
Halden,31935,3101
Moss,52051,3103
Sarpsborg,59771,3105
Fredrikstad,85230,3107
Hvaler,4787,3110
Råde,7883,3112
Våler (Østfold),6145,3114
Skiptvet,3919,3116
Indre Østfold,47006,3118
Rakkestad,8420,3120
Marker,3658,3122
Aremark,1347,3124
Bærum,130921,3201
Asker,98815,3203
Lillestrøm,94201,3205
Nordre Follo,63560,3207
Ullensaker,43814,3209
